test_num,batch_size,runTime,avg_accuracy,avg_similarity_ratio,avg_best_score
10,20,4.174246409999999,0.7,0.95,0.5530357986688614
10,40,4.11828236,0.7,0.95,0.5530358284711838
10,60,3.912420929999999,0.7,0.95,0.5530358284711838
10,80,3.99155753,0.7,0.95,0.5530358284711838
10,100,3.7903257999999993,0.7,0.95,0.5530358284711838
10,300,3.755462889999998,0.7,0.95,0.5530358284711838
10,500,3.8040224799999978,0.7,0.95,0.5530358284711838
10,800,3.7086650099999985,0.7,0.95,0.5530358284711838
10,1000,3.6414774899999998,0.7,0.95,0.5530358284711838
10,2500,3.4776577900000007,0.7,0.95,0.5530358105897903
10,5000,3.48596417,0.7,0.95,0.5530358105897903
10,10000,4.193467620000002,0.7,0.95,0.5530358105897903
