deviation_range=np.arange(0.11,0.15,0.01)
binaryTime_range=np.arange(50,171,20)
test_num,deviation,binaryTime,runTime,avg_accuracy,avg_similarity_ratio,avg_best_score
100,0.09,80,1.0354316810000002,0.63,0.7040000000000001,0.654045377522707
100,0.09,100,0.923072526,0.54,0.6120000000000003,0.6236879932880401
100,0.09,120,0.9631557229999999,0.43,0.4680000000000002,0.5677299018204213
100,0.09,140,0.9466104460000002,0.38,0.4180000000000002,0.5426754090934992
100,0.09,160,0.9750887549999999,0.32,0.38100000000000017,0.5142476703226566
100,0.09999999999999999,80,2.110194874,0.78,0.932,0.6943479058146477
100,0.09999999999999999,100,1.8750226269999997,0.73,0.8740000000000002,0.6864192026853562
100,0.09999999999999999,120,1.6223211319999984,0.67,0.801,0.67135518938303
100,0.09999999999999999,140,1.6021807709999984,0.61,0.7349999999999999,0.6458334715664387
100,0.09999999999999999,160,1.5497716820000005,0.51,0.635,0.5978719845414162
100,0.10999999999999999,80,4.1368638650000005,0.82,0.971,0.6980509561300278
100,0.10999999999999999,100,3.6638059639999985,0.81,0.968,0.695201455950737
100,0.10999999999999999,120,3.2029838029999973,0.78,0.9540000000000001,0.6913004979491234
100,0.10999999999999999,140,2.9826763349999963,0.77,0.9430000000000001,0.6885458439588547
100,0.10999999999999999,160,2.7868945889999988,0.76,0.9340000000000002,0.687589096724987
