deviation_range=np.arange(0.15,0.16,0.01)
binaryTime_range=np.arange(400,501,20)
test_num,deviation,binaryTime,runTime,avg_accuracy,avg_similarity_ratio,avg_best_score
10,0.15,400,12.72175792,0.3,0.96,0.5333642661571503
10,0.15,420,12.386619430000001,0.3,0.95,0.5333642661571503
10,0.15,440,11.761883120000004,0.3,0.95,0.5333642661571503
10,0.15,460,11.82035889,0.3,0.95,0.5333642661571503
10,0.15,480,11.847065810000004,0.3,0.95,0.5333642661571503
10,0.15,500,11.853992919999996,0.3,0.95,0.5333642661571503
10,0.16,400,16.90477191,0.4,0.96,0.5333642661571503
10,0.16,420,17.003295630000014,0.4,0.95,0.5333642661571503
10,0.16,440,16.28707855,0.4,0.95,0.5333642661571503
10,0.16,460,16.42926639,0.4,0.95,0.5333642661571503
10,0.16,480,16.623778010000002,0.4,0.95,0.5333642661571503
10,0.16,500,16.83656793,0.4,0.95,0.5333642661571503
